alpha,Re,M,Cl,Cl_std,Cd,Cd_std
-2.0,19986,0.600,-0.008100,0.001721,0.056467,0.002756
0.0,20060,0.605,0.182051,0.002730,0.045416,0.002001
0.0,20009,0.605,0.162951,0.001501,0.047513,0.001910
2.0,19965,0.600,0.386695,0.006457,0.043860,0.001987
2.5,19888,0.598,0.429902,0.006935,0.045571,0.002680
3.0,19991,0.602,0.478080,0.008471,0.047546,0.001836
3.5,20026,0.603,0.522944,0.007619,0.049929,0.001813
4.0,19957,0.601,0.567940,0.007834,0.052459,0.001665
4.5,20016,0.603,0.637644,0.007894,0.054401,0.002205
5.0,19946,0.601,0.733680,0.011191,0.060159,0.001863
5.5,19986,0.601,0.799964,0.015139,0.066739,0.001828
6.0,19965,0.601,0.860631,0.017826,0.074403,0.002755